wav/000001.wav	ka2 er2 pu3 pei2 wai4 sun1 wan2 hua2 ti1	biaobei
wav/000002.wav	jia2 yu3 cun1 yan2 bie2 zai4 yong1 bao4 wo3	biaobei
wav/000003.wav	bao2 ma3 pei4 gua4 bo3 luo2 an1 diao1 chan2 yuan4 zhen3 dong3 weng1 ta4	biaobei
wav/000004.wav	deng4 xiao3 ping2 yu3 sa4 qie4 er3 hui4 wu4	biaobei
wav/000005.wav	lao2 hu3 you4 zai3 yu2 chong3 wu4 quan3 wan2 shua3	biaobei
wav/000006.wav	shen1 chang2 yue1 wu2 chi3 er4 cun4 wu3 fen1 huo4 yi3 shang4	biaobei
wav/000007.wav	zhao4 di2 yue1 cao2 yun2 teng2 qu4 gui3 wu1	biaobei
wav/000008.wav	zhan2 pin3 sui1 you3 zhan3 yuan2 que4 tui2	biaobei
wav/000009.wav	yi2 san3 ju1 er2 tong2 he2 you4 tuo1 er2 tong2 wei2 zhu3	biaobei
wav/000010.wav	ke1 te4 ni1 shen1 chuan1 bao4 wen2 da4 yi1	biaobei
wav/000011.wav	yin3 cai2 yao4 shai1 yong4 cai2 ye3 yao4 shai1	biaobei
wav/000012.wav	nan2 yue4 kun1 lun2 shan1 yu3 xi1 zang4 jie1 rang3	biaobei
wav/000013.wav	weng1 kai3 lan2 fang2 ru3 xian4 ai2 xuan1 chuan2 zhao4	biaobei
wav/000014.wav	wo3 hui2 you4 heng1 heng5 zuo3 heng1 heng5	biaobei
wav/000015.wav	wu2 yun2 bao2 nai3 nai5 tiao1 xuan3 pi2 pa2	biaobei
wav/000016.wav	ci3 wai4 guang2 ben3 ye3 jiang1 you2 shao4 zhuang4 pai4 zhang2 guan3	biaobei
wav/000017.wav	you4 man2 wu3 niao2 niao3 zuo3 qiong2 ge1 xi1 xi1	biaobei
wav/000018.wav	yan3 kuang4 kuan1 kuo4 er2 di1 ai3 bi2 duan3 er2 kuan1	biaobei
wav/000019.wav	xia2 pu3 xian4 ya2 cheng2 zhen4 wu1 qi2 wa3 yao2 cun1 shui3 wei4 meng2 zhang3	biaobei
wav/000020.wav	huo4 si1 yan4 lu4 bei4 xiu4 ru3 gou1 xing4 gan3 re2 huo3	biaobei
