000001	卡尔普#2陪外孙#1玩滑梯#4。	ka2 er2 pu3 pei2 wai4 sun1 wan2 hua2 ti1
000002	假语村言#2别再#1拥抱我#4。	jia2 yu3 cun1 yan2 bie2 zai4 yong1 bao4 wo3
000003	宝马#1配挂#1跛骡鞍#3，貂蝉#1怨枕#2董翁榻#4。	bao2 ma3 pei4 gua4 bo3 luo2 an1 diao1 chan2 yuan4 zhen3 dong3 weng1 ta4
000004	邓小平#2与#1撒切尔#2会晤#4。	deng4 xiao3 ping2 yu3 sa4 qie4 er3 hui4 wu4
000005	老虎#1幼崽#2与#1宠物犬#1玩耍#4。	lao2 hu3 you4 zai3 yu2 chong3 wu4 quan3 wan2 shua3
000006	身长#2约#1五尺#1二寸#1五分#2或#1以上#4。	shen1 chang2 yue1 wu2 chi3 er4 cun4 wu3 fen1 huo4 yi3 shang4
000007	赵荻#2约#1曹云腾#2去#1鬼屋#4。	zhao4 di2 yue1 cao2 yun2 teng2 qu4 gui3 wu1
000008	展品#1虽有#2，展员#1却颓#4。	zhan2 pin3 sui1 you3 zhan3 yuan2 que4 tui2
000009	以#1散居#1儿童#2和#1幼托#1儿童#1为主#4。	yi2 san3 ju1 er2 tong2 he2 you4 tuo1 er2 tong2 wei2 zhu3
000010	柯特妮#2身穿#2豹纹#1大衣#4。	ke1 te4 ni1 shen1 chuan1 bao4 wen2 da4 yi1
000011	引才#1要筛#2，用才#2也#1要筛#4。	yin3 cai2 yao4 shai1 yong4 cai2 ye3 yao4 shai1
000012	南越#2昆仑山#2与#1西藏#1接壤#4。	nan2 yue4 kun1 lun2 shan1 yu3 xi1 zang4 jie1 rang3
000013	翁凯兰#3防#1乳腺癌#1宣传照#4。	weng1 kai3 lan2 fang2 ru3 xian4 ai2 xuan1 chuan2 zhao4
000014	我回#2右哼哼#2左哼哼#4。	wo3 hui2 you4 heng1 heng5 zuo3 heng1 heng5
000015	吴云宝#1奶奶#2挑选#1枇杷#4。	wu2 yun2 bao2 nai3 nai5 tiao1 xuan3 pi2 pa2
000016	此外#2广本#2也将由#2少壮派#1掌管#4。	ci3 wai4 guang2 ben3 ye3 jiang1 you2 shao4 zhuang4 pai4 zhang2 guan3
000017	右蛮#1舞#1袅袅#3，左琼#2歌#1昔昔#4。	you4 man2 wu3 niao2 niao3 zuo3 qiong2 ge1 xi1 xi1
000018	眼眶#2宽阔#1而#1低矮#3，鼻短#1而宽#4。	yan3 kuang4 kuan1 kuo4 er2 di1 ai3 bi2 duan3 er2 kuan1
000019	霞浦#1县牙#2城镇#1乌岐#3、瓦窑村#2水位#1猛涨#4。	xia2 pu3 xian4 ya2 cheng2 zhen4 wu1 qi2 wa3 yao2 cun1 shui3 wei4 meng2 zhang3
000020	霍思燕#2露背#1秀乳沟#2性感#1惹火#4。	huo4 si1 yan4 lu4 bei4 xiu4 ru3 gou1 xing4 gan3 re2 huo3
